po_code,po_name,longitude,latitude
0600906,Sapporo Chuo,141.35972,043.06700
0470031,Otaru,141.00484,043.19470
0510011,Muroran,140.97584,042.31625
0460004,Yoichi,140.80186,043.18976
0450013,Iwanai,140.51592,042.97640
0613361,Ishikari Kita,141.37573,043.24296
0520024,Date,140.86732,042.46821
0580204,Erimo,143.15268,042.01319
0530021,Tomakomai,141.60620,042.63660
0670001,Ebetsu,141.55686,043.11170
0460104,Furubira,140.64357,043.27572
0613101,Hamamasu,141.38721,043.59872
0613601,Atsuta,141.43838,043.39667
0600063,Sapporo Minami Sanjo,141.35717,043.05414
0480351,Isoya,140.35384,042.85859
0450301,Kamoenai,140.43671,043.14025
0560017,Shizunai,142.36884,042.33765
0480621,Shimamaki,140.06578,042.69851
0480415,Utasutsu,140.30883,042.77403
0620904,Toyohirabashi,141.37114,043.05036
0460325,Nozuka,140.46107,043.34014
0450203,Shiribeshi Tomari,140.49803,043.06374
0480603,Honme,140.13673,042.74444
0570015,Urakawa,142.77753,042.15969
0480406,Suttsu,140.23652,042.79017
0680411,Yuubari,141.96906,043.04733
0691205,Yuniyuu,141.78916,043.00879
0592121,Monbetsu,142.07914,042.47750
0495615,Abuta,140.76557,042.54767
0691332,Naganuma,141.69616,043.00726
0470261,Zenibako,141.16571,043.13975
0482405,Niki,140.77227,043.15596
0610223,Toubetsu,141.52074,043.21627
0611133,Kita Hiroshima,141.56555,042.97472
0028023,Shinoro,141.36295,043.14211
0590012,Noboribetsu,141.11025,042.40794
0590905,Shiraoi,141.36590,042.54978
0660062,Chitose,141.65590,042.82493
0660012,Chitose Kuukou (Airport),141.68516,042.78518
0540041,Mukawa,141.93378,042.57208
0460201,Bikuni,140.60385,043.29385
0482561,Oshoro,140.86772,043.20552
0593108,Mitsuishi,142.56107,042.24589
0580015,Samani,142.94157,042.12561
0580421,Shoya,143.30318,042.04330
0470027,Otaru Sakaimachi,141.01064,043.18861
0482672,Shioya,140.92506,043.20746
0040052,Atsubetsu,141.47475,043.03439
0591501,Hayakita Yuki-daruma,141.82432,042.76449
0591911,Oiwake,141.81727,042.87098
0520101,Soubetsu,140.89368,042.55570
0620003,Toyohira,141.39252,043.03787
0691511,Kuriyama,141.78506,043.05557
0440011,Kucchan,140.75805,042.89866
0481731,Rusutsu,140.88246,042.73637
0611441,Eniwa,141.58678,042.87380
0480101,Kuromatsunai,140.31042,042.66817
0481307,Nakoma,140.44986,042.81392
0480134,Neppu,140.38127,042.67004
0481302,Konbu,140.60045,042.79485
0681100,Shin Shinotsu,141.65188,043.22201
0460022,Yoichi Sawamachi,140.77587,043.20054
0590271,Kogane,140.91317,042.38298
0580422,Hidaka Meguro,143.31816,042.12575
0580342,Erimo Misaki,143.24388,041.93406
0060817,Teine,141.25886,043.12535
0590464,Noboribetsu Ekimae,141.18298,042.45097
0460501,Akaigawa,140.81963,043.07975
0550107,Biratori,142.13571,042.58281
0470016,Otaru Sumiyoshi,141.01468,043.18318
0470047,Otaru Shukutsu,141.01604,043.22788
0450205,Sakazuki,140.46417,043.09968
0600005,Sapporo Kita Gojo Naka,141.35043,043.06450
0690813,Nopporo,141.52600,043.08936
0470048,Otaru Takashima,141.01578,043.21636
0590642,Takeura,141.26334,042.48885
0460322,Yobetsu,140.38311,043.32496
0482142,Kozawa,140.67992,042.96876
0591602,Atsuma,141.88097,042.72229
0600061,Sapporo Minami Ichijo,141.35321,043.05652
0481502,Niseko,140.68990,042.80148
0592561,Higashi Shizunai,142.45724,042.29664
0592243,Atsuga,142.22751,042.42334
0030011,Shiroishi Chuo Dori,141.40549,043.04882
0050015,Sapporo Minami,141.35669,042.98653
0010907,Sapporo Shin Kotoni,141.33203,043.11162
0640808,Sapporo Minami Hachino Nishi,141.34942,043.04775
0630005,Sapporo Nishi,141.29942,043.07237
0691524,Kakuta,141.81172,043.02791
0495802,Touya,140.83753,042.64670
0540142,Niwan,142.08250,042.65742
0640805,Sapporo Minai Gojo,141.35353,043.05174
0600003,Sapporo Kita Sanjo,141.35555,043.06294
0600032,Sapporo Kita Nijo,141.36194,043.06252
0600001,Sapporo Kita Ichijo,141.34478,043.05843
0613103,Horo,141.35730,043.64744
0500085,Wanishi,141.01650,042.33331
0590034,Washibetsu,141.05093,042.35314
0591305,Numanohata,141.69841,042.66724